code,name,market,type,industry,price,chg,chg_pct,score,A,B,C,D,E,F,S2h,S2m,etf_trust_5d,etf_rank,etf_chip_cnt,etf_vol_ratio,foreign_days,trust_days,broker_days,broker_conc,margin_ratio,short_ratio,big_chg,rsi,trust_d1,trust_d3,trust_d5,broker_names,broker_silent,broker_known,turnover_pct,holding_rising,trust_holding_pct,trust_pullback,volume_ratio,ma_trend,revenue_months,eps_growth,gpm_improving,tags,signal,signal_desc,scan_date
00633L,富邦上証正2,上市,STOCK,,0,0,0,38,5,0,0,18,0,6,5,4,0.0,賣超,1,0.677,0,0,0,0,18.9,2.4,-1.85,61.8,0,0,0,{},0,0,-18.7,1,0.0,0,1.74,2,0,0,0,★籌碼乾淨,NONE,,2026-05-08
00634R,富邦上証反1,上市,STOCK,,0,0,0,23,0,0,0,0,0,4,15,4,0.0,賣超,2,1.0148,0,0,0,0,15.9,0.2,0.0,35.2,0,0,0,{},0,0,0.0,1,0.0,0,1.49,0,0,0,0,★大戶接手 ★籌碼乾淨,NONE,,2026-05-08
00635U,期元大S&P黃金,上市,STOCK,,0,0,0,20,0,0,0,5,0,6,5,4,0.0,賣超,1,0.4515,0,0,0,0,7.1,0.3,-0.19,49.2,0,0,0,{},0,0,-0.0,0,0.0,0,1.01,0,0,0,0,★籌碼乾淨,NONE,,2026-05-08
00636,國泰中國A50,上市,STOCK,,0,0,0,32,0,0,0,18,0,5,5,4,0.0,賣超,0,0.5539,0,0,0,0,0.5,0.0,-0.24,61.8,0,0,0,{},0,0,-1.4,1,0.0,0,0.17,2,0,0,0,★籌碼乾淨,NONE,,2026-05-08
00636K,國泰中國A50+U,上市,STOCK,,0,0,0,32,0,0,0,14,0,1,15,2,0.0,賣超,1,1.2,0,0,0,0,0.0,0.0,0.0,74.9,0,0,0,{},0,0,0.0,0,0.0,0,0.56,2,0,0,0,★大戶接手,NONE,,2026-05-08
00637L,元大滬深300正2,上市,STOCK,,0,0,0,39,0,0,0,18,0,6,15,0,0.0,賣超,1,0.6804,0,0,0,0,41.6,5.7,0.4,61.3,0,0,0,{},0,0,-10.8,0,0.0,0,1.0,2,0,0,0,,NONE,,2026-05-08
00638R,元大滬深300反1,上市,STOCK,,0,0,0,20,0,0,0,0,0,1,15,4,0.0,賣超,1,2.41,0,0,0,0,13.4,0.1,3.82,37.3,0,0,0,{},0,0,-25.7,0,0.0,0,1.85,0,0,0,0,★籌碼乾淨,NONE,,2026-05-08
00639,富邦深100,上市,STOCK,,0,0,0,26,0,0,0,14,0,3,5,4,0.0,賣超,1,0.7817,0,0,0,0,1.8,0.0,-1.61,72.2,0,0,0,{},0,0,-0.6,1,0.0,0,0.89,2,0,0,0,★籌碼乾淨,NONE,,2026-05-08
00640L,富邦日本正2,上市,STOCK,,0,0,0,39,0,0,0,18,0,6,15,0,0.0,賣超,1,0.5505,0,0,0,0,41.1,2.9,0.37,58.8,0,0,0,{},0,0,-5.2,0,0.0,0,0.87,2,0,0,0,★大戶接手,NONE,,2026-05-08
00641R,富邦日本反1,上市,STOCK,,0,0,0,28,0,0,0,2,0,1,25,0,0.0,賣超,1,0.5779,0,0,0,0,38.4,2.8,0.82,41.5,0,0,0,{},0,0,0.0,0,0.0,0,0.75,0,0,0,0,★籌碼集中 ★大戶接手,NONE,,2026-05-08
